scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus chiguanco,-72.5229742,-13.1576669,S27192790,Peru,obs279344,S27192790,3,true,PE-CUS,L4201083,Traveling,23-08-03,2003,13.83333333,130,0.322,4
Turdus chiguanco,-78.40025,-7.08619,S37606001,Peru,obs168813,S37606001,,true,PE-CAJ,L4470950,Traveling,31-07-03,2003,14,120,2,7
Turdus chiguanco,-77.3608303,-11.3733485,S43630492,Peru,obs207209,S43630492,6,true,PE-LIM,L490198,Traveling,02-10-03,2003,6.5,240,3,4
Turdus chiguanco,-79.5414662,-5.888108,S110549267,Peru,obs207209,S110549267,4,true,PE-PIU,L6854339,Traveling,01-11-03,2003,6.5,120,2,4
Turdus chiguanco,-65.1077778,-18.7847222,S61710341,Bolivia,obs1465049,S61710341,1,true,BO-H,L7237315,Stationary,13-08-03,2003,9,120,0,4
Turdus chiguanco,-71.3939167,-16.4009722,S47782765,Peru,obs210454,S47782765,,true,PE-ARE,L7360842,Traveling,11-10-03,2003,7.583333333,160,3,3
Turdus chiguanco,-69.5698618,-18.1955089,S94239253,Chile,obs502426,S94239253,,true,CL-AP,L7968464,Traveling,29-12-03,2003,18,90,4,2
Turdus chiguanco,-65.4797709,-31.375999,S20983809,Argentina,obs534175,S20983809,1,true,AR-X,L835427,Traveling,06-11-03,2003,7,240,3.219,8
Turdus chiguanco,-65.7717133,-26.7398616,S20983883,Argentina,obs534175,S20983883,3,true,AR-T,L838297,Traveling,09-11-03,2003,8,120,1.609,8
Turdus chiguanco,-65.4633021,-22.1311849,S21003070,Argentina,obs534175,S21003070,1,true,AR-Y,L844702,Traveling,17-11-03,2003,8,180,3.219,8
Turdus chiguanco,-77.8816667,-9.8677778,S6011390,Peru,obs161890,S6011390,,true,PE-ANC,L855496,Traveling,17-09-03,2003,11.5,140,3,2
Turdus chiguanco,-77.8041667,-6.7097222,S6038360,Peru,obs161890,S6038360,,true,PE-AMA,L858432,Traveling,17-11-03,2003,9,180,5,1
Turdus chiguanco,-69.1637421,-16.0207359,S30770795,Bolivia,obs212296,S30770795,15,true,BO-L,L866286,Traveling,06-06-03,2003,10,60,0.805,2
Turdus chiguanco,-66.1379528,-17.4078132,S30770493,Bolivia,obs212296,S30770493,15,true,BO-C,L997622,Traveling,03-06-03,2003,7,140,3.219,2
Turdus chiguanco,-68.67333,-16.55472,S41673576,Bolivia,obs527452,S41673576,5,true,BO-L,L1006510,Traveling,30-08-04,2004,11,210,4.828,2
Turdus chiguanco,-64.45112,-18.01187,S27012066,Bolivia,obs279344,S27012066,1,true,BO-S,L1008529,Traveling,18-08-04,2004,16.83333333,95,0.322,3
Turdus chiguanco,-64.9370711,-23.6484799,S67062471,Argentina,obs648080,S67062471,,true,AR-Y,L10580843,Traveling,03-07-04,2004,9,120,2,8
Turdus chiguanco,-69.5580722,-18.1929103,S70556907,Chile,obs1312265,S70556907,1,true,CL-AP,L11705788,Traveling,05-05-04,2004,7,120,3,1
Turdus chiguanco,-69.4238458,-19.3130822,S70490338,Chile,obs1312265,S70490338,2,true,CL-TA,L11707012,Traveling,13-11-04,2004,7.5,60,2,2
Turdus chiguanco,-71.9653274,-13.5191538,S74290957,Peru,obs633962,S74290957,,true,PE-CUS,L12404421,Traveling,15-07-04,2004,10,300,4,2
Turdus chiguanco,-71.3732792,-16.4013066,S10396480,Peru,obs212715,S10396480,4,true,PE-ARE,L1486452,Traveling,23-08-04,2004,9.5,240,4,1
Turdus chiguanco,-72.301578,-13.142868,S129112592,Peru,obs3564577,S129112592,4,true,PE-CUS,L1860502,Traveling,07-06-04,2004,13.5,120,2.4,3
Turdus chiguanco,-79.5052242,-5.8399955,S129504637,Peru,obs3564577,S129504637,3,true,PE-PIU,L20612883,Traveling,29-06-04,2004,13,90,0.6,3
Turdus chiguanco,-71.723442,-13.6179968,S129107472,Peru,obs3564577,S129107472,4,true,PE-CUS,L21383827,Traveling,07-06-04,2004,9,180,2.5,3
Turdus chiguanco,-71.4539446,-16.5486934,S124032564,Peru,obs210454,S124032564,3,true,PE-ARE,L21805974,Traveling,10-01-04,2004,8.416666667,145,1.5,2
Turdus chiguanco,-78.8736927,-2.5402061,S121523546,Ecuador,obs1317926,S121523546,,true,EC-F,L2247318,Traveling,25-10-04,2004,8,120,1,2
Turdus chiguanco,-71.3698053,-14.1744428,S15512313,Peru,obs35756,S15512313,3,true,PE-CUS,L2400297,Traveling,11-06-04,2004,15.25,90,1.609,2
Turdus chiguanco,-71.2257385,-14.2873629,S15557737,Peru,obs35756,S15557737,2,true,PE-CUS,L2408790,Traveling,14-06-04,2004,7.25,30,1.609,1
Turdus chiguanco,-65.5955887,-22.1040903,S61033881,Argentina,obs272291,S61033881,,true,AR-Y,L2419642,Stationary,21-09-04,2004,10,30,0,1
Turdus chiguanco,-69.564743,-35.4457171,S16142646,Argentina,obs423266,S16142646,,true,AR-M,L2493990,Traveling,12-02-04,2004,7,300,5,1
Turdus chiguanco,-68.5663605,-34.6824969,S16143016,Argentina,obs423266,S16143016,,true,AR-M,L2494054,Traveling,13-02-04,2004,16,180,3,3
Turdus chiguanco,-69.3495,-32.592,S53113951,Argentina,obs267395,S53113951,2,true,AR-M,L2763150,Traveling,24-09-04,2004,15,180,3,3
