scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,state_code,locality_id,protocol_type,observation_date,year,month,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus amaurochalinus,-57.5522882,-25.2809287,S27421386,Paraguay,obs671452,S27421386,3,PY-ASU,L4237060,Stationary,11-02-16,2016,2,8.566666667,5,0,1
Turdus amaurochalinus,-68.829233,-33.007388,S27426646,Argentina,obs150352,S27426646,1,AR-M,L4237950,Stationary,11-02-16,2016,2,15.73333333,1,0,1
Turdus amaurochalinus,-57.5428553,-25.2371947,S27441685,Paraguay,obs671452,S27441685,1,PY-ASU,L4240410,Stationary,12-02-16,2016,2,8.483333333,5,0,1
Turdus amaurochalinus,-57.538676,-25.3264637,S30726069,Paraguay,obs671452,S30726069,2,PY-11,L4248324,Stationary,17-07-16,2016,7,9.483333333,5,0,1
Turdus amaurochalinus,-57.5376943,-25.3275989,S33174939,Paraguay,obs671452,S33174939,1,PY-11,L4248340,Stationary,24-12-16,2016,12,8.616666667,5,0,1
Turdus amaurochalinus,-57.5368867,-25.3260142,S33174895,Paraguay,obs671452,S33174895,1,PY-11,L4248363,Stationary,24-12-16,2016,12,8.4,5,0,1
Turdus amaurochalinus,-57.5380833,-25.3255645,S33174873,Paraguay,obs671452,S33174873,2,PY-11,L4248370,Stationary,24-12-16,2016,12,8.283333333,5,0,1
Turdus amaurochalinus,-57.5374707,-25.3239953,S33174850,Paraguay,obs671452,S33174850,3,PY-11,L4248376,Stationary,24-12-16,2016,12,8.183333333,5,0,1
Turdus amaurochalinus,-57.5370396,-25.3223924,S33174832,Paraguay,obs671452,S33174832,3,PY-11,L4248387,Stationary,24-12-16,2016,12,8.033333333,5,0,1
Turdus amaurochalinus,-60.7580706,-31.6625618,S27654217,Argentina,obs719451,S27654217,2,AR-S,L4283073,Traveling,26-01-16,2016,1,9,65,0.6,2
Turdus amaurochalinus,-58.479349,-34.492375,S27651539,Argentina,obs501247,S27651539,2,AR-B,L4283416,Traveling,13-01-16,2016,1,9.2,90,3,2
Turdus amaurochalinus,-57.5321577,-25.3231122,S33174794,Paraguay,obs671452,S33174794,2,PY-11,L4285225,Stationary,24-12-16,2016,12,7.8,5,0,1
Turdus amaurochalinus,-57.5326562,-25.3211141,S33174774,Paraguay,obs671452,S33174774,3,PY-11,L4285233,Stationary,24-12-16,2016,12,7.683333333,5,0,1
Turdus amaurochalinus,-57.5328057,-25.3191493,S33174761,Paraguay,obs671452,S33174761,2,PY-11,L4285242,Stationary,24-12-16,2016,12,7.566666667,5,0,1
Turdus amaurochalinus,-57.5356193,-25.3188723,S33174703,Paraguay,obs671452,S33174703,1,PY-11,L4285251,Stationary,24-12-16,2016,12,7.216666667,5,0,1
Turdus amaurochalinus,-57.5342413,-25.3166972,S33174726,Paraguay,obs671452,S33174726,2,PY-11,L4285260,Stationary,24-12-16,2016,12,7.333333333,5,0,1
Turdus amaurochalinus,-56.1716151,-34.9249971,S32149326,Uruguay,obs663939,S32149326,1,UY-MO,L4303837,Traveling,21-10-16,2016,10,17.5,75,2,1
Turdus amaurochalinus,-55.3264189,-34.8175615,S31935320,Uruguay,obs521861,S31935320,1,UY-MA,L4312471,Traveling,06-10-16,2016,10,16.25,105,3,2
Turdus amaurochalinus,-60.4456668,-31.7377881,S27876249,Argentina,obs176749,S27876249,1,AR-E,L4320312,Traveling,28-02-16,2016,2,18,90,5,2
Turdus amaurochalinus,-65.6189532,-27.5909347,S27922749,Argentina,obs691639,S27922749,1,AR-T,L4327093,Stationary,02-03-16,2016,3,11.96666667,11,0,1
