scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus rufiventris,-44.7276961,-23.2170049,S145119366,Brazil,obs622409,S145119366,1,true,BR-RJ,L16042226,Stationary,19-07-23,2023,9.083333333,66,0,1
Turdus rufiventris,-48.7941885,-26.3059927,S144110620,Brazil,obs1810221,S144110620,2,true,BR-SC,L16070954,Traveling,09-07-23,2023,11.48333333,53,1.35,1
Turdus rufiventris,-59.5327655,-28.0094679,S144784879,Argentina,obs947652,S144784879,1,true,AR-S,L16494697,Traveling,16-07-23,2023,9.383333333,149,3.38,1
Turdus rufiventris,-54.1122865,-26.6343938,S145650566,Argentina,obs1608968,S145650566,2,true,AR-N,L16578199,Stationary,26-07-23,2023,8.65,12,0,1
Turdus rufiventris,-49.0890384,-25.0374522,S145131053,Brazil,obs767308,S145131053,4,true,BR-PR,L16660571,Traveling,20-07-23,2023,13.36666667,57,2.536,1
Turdus rufiventris,-46.172089,-23.5085396,S145532482,Brazil,obs3418001,S145532482,2,true,BR-SP,L16906404,Traveling,24-07-23,2023,14.5,60,2,1
Turdus rufiventris,-64.3159735,-32.7129223,S146059028,Argentina,obs758919,S146059028,1,true,AR-X,L17136886,Traveling,30-07-23,2023,15.41666667,130,0.95,1
Turdus rufiventris,-54.4464861,-25.6965622,S146295598,Argentina,obs1133414,S146295598,1,true,AR-N,L17311000,Traveling,31-07-23,2023,8.316666667,4,0.37,1
Turdus rufiventris,-57.9960322,-35.5848395,S144085674,Argentina,obs431323,S144085674,2,true,AR-B,L17389583,Traveling,08-07-23,2023,17.58333333,19,0.82,1
Turdus rufiventris,-58.4951167,-34.5956642,S146127841,Argentina,obs1511334,S146127841,1,true,AR-C,L17860642,Traveling,31-07-23,2023,16.73333333,5,0.33,1
Turdus rufiventris,-63.6909658,-22.1857866,S143407952,Argentina,obs1696824,S143407952,2,true,AR-A,L18230042,Traveling,01-07-23,2023,8.95,184,4.46,4
